video_id,ptype,label,n_frames,mean_own,std_own,mean_tok_safe,std_tok_safe,mean_tok_near_crash,std_tok_near_crash,mean_tok_crash,std_tok_crash,mean_prompt_safe,std_prompt_safe,mean_prompt_near_crash,std_prompt_near_crash,mean_prompt_crash,std_prompt_crash
Wc8mgFUCLsM,P_label,near_crash,8,27.571758270263672,1.9674397706985474,22.361221313476562,1.2478439807891846,23.003374099731445,2.119858980178833,23.39531898498535,2.03822922706604,25.090238571166992,2.17207407951355,27.571754455566406,1.9674406051635742,27.69632339477539,1.8784321546554565
ZPv9uEcdrGI,P_label,near_crash,8,30.685081481933594,1.5691238641738892,23.609569549560547,0.905350387096405,24.775390625,2.547595977783203,25.04256820678711,2.473266839981079,29.445556640625,1.978568196296692,30.685077667236328,1.5691227912902832,30.576316833496094,1.8765246868133545
mMImGwGp_LY,P_label,near_crash,8,28.638154983520508,1.4111887216567993,22.29006576538086,0.7255976796150208,23.13715171813965,1.568039894104004,23.433151245117188,1.5425429344177246,27.371150970458984,1.2475385665893555,28.638153076171875,1.4111887216567993,28.72288703918457,1.2924779653549194
v3HZHgZfU6M,P_label,near_crash,8,26.01348876953125,1.191211223602295,21.778324127197266,0.46871495246887207,22.50269317626953,0.7506831288337708,22.673620223999023,0.36854296922683716,25.492586135864258,0.9517614841461182,26.013486862182617,1.191210150718689,26.173587799072266,1.0314511060714722
w6ZUtZ3yYeA,P_label,near_crash,8,29.799898147583008,2.384944438934326,22.540252685546875,1.3316895961761475,23.221162796020508,1.9058020114898682,24.421878814697266,2.0249578952789307,28.880084991455078,2.503861427307129,29.799896240234375,2.3849453926086426,29.50046157836914,2.5750603675842285
xuXJVzOMu0I,P_label,near_crash,8,29.578916549682617,1.7861393690109253,23.18656349182129,0.41868385672569275,24.207273483276367,1.356261134147644,24.619579315185547,2.1834733486175537,28.213193893432617,0.9649767279624939,29.578914642333984,1.786138653755188,28.741987228393555,1.5241221189498901
-2PbLgrSGfc,P_label,safe,8,30.534324645996094,0.7355465888977051,23.761110305786133,0.3904472589492798,22.26378631591797,0.6702063083648682,22.261018753051758,0.7890483736991882,30.534324645996094,0.7355468273162842,31.099885940551758,0.6818482279777527,30.327980041503906,0.6926174759864807
2ykoE_FyWpI,P_label,safe,8,30.391647338867188,0.7939618825912476,23.830060958862305,0.49606451392173767,25.594451904296875,0.4778403639793396,24.726459503173828,0.498620867729187,30.391647338867188,0.7939619421958923,30.229339599609375,0.7686945199966431,29.700302124023438,0.806776225566864
NqiIYzetr6g,P_label,safe,8,31.210895538330078,0.9788128733634949,24.596467971801758,0.7369803786277771,25.673500061035156,0.8437319993972778,24.719606399536133,0.5240094661712646,31.210895538330078,0.9788142442703247,31.135963439941406,0.4881214499473572,30.503284454345703,0.5289815068244934
TIxUylmJeh4,P_label,safe,8,28.635234832763672,1.1394304037094116,22.114675521850586,0.45626088976860046,22.417837142944336,0.8819186091423035,22.126813888549805,0.7373332381248474,28.63523292541504,1.1394309997558594,28.542774200439453,1.0621742010116577,28.407691955566406,0.8978463411331177
ZPv9uEcdrGI,P_label,safe,8,27.442886352539062,1.8805673122406006,23.134979248046875,1.0438369512557983,22.44919204711914,1.0584853887557983,21.751829147338867,0.9993863105773926,27.44288444519043,1.880565881729126,27.940017700195312,1.602535367012024,27.65228843688965,1.6266422271728516
mMImGwGp_LY,P_label,safe,8,26.77092742919922,1.4024757146835327,21.441455841064453,0.8956395983695984,20.17496109008789,0.6804577708244324,19.942922592163086,0.4998842477798462,26.77092742919922,1.4024748802185059,27.719268798828125,0.986691415309906,26.519569396972656,1.1500053405761719
v3HZHgZfU6M,P_label,safe,8,29.12558364868164,1.3658078908920288,23.650680541992188,0.6882410049438477,23.984926223754883,0.834639310836792,22.51184844970703,0.8349777460098267,29.12558364868164,1.3658065795898438,29.42182159423828,1.693833351135254,29.36391258239746,1.4844253063201904
w6ZUtZ3yYeA,P_label,safe,8,28.439210891723633,0.20076003670692444,22.798078536987305,0.27697545289993286,23.14469337463379,0.5207468271255493,22.563417434692383,0.40632808208465576,28.439210891723633,0.20076175034046173,27.884944915771484,0.2746647000312805,27.30666732788086,0.19989746809005737
